sk_id_curr,id_card,area_code,birth_year,age,days_birth,days_employed,employment_years,AMT_INCOME_TOTAL,credit_query_week,credit_query_month,phone_change_days,active_loans_count,ext_source_2,ext_source_3,has_car,gender_male,married,own_realty,employment_stable,credit_income_ratio,cc_utilization,loan_overdue_max_6m,occupation_type,education,has_default_history,prev_refused_count
218467,110112198212010000,110112,1982,44,-16139,-3483,9.5,90000.0,0,0,12,4,0.6669,0.6754,1,0,1,0,1,3.16,1,40,Laborers,高中及以下,0,0
120728,110112200101080001,110112,2001,26,-9315,-2514,6.9,157500.0,1,0,703,4,0.4576,0.4794,0,1,1,1,1,1.7143,0,7,Laborers,高中及以下,1,0
104716,110112198904120002,110112,1989,37,-13611,-1052,2.9,315000.0,0,0,457,1,0.7029,0.2485,0,1,1,1,1,0.8479,1,9,Laborers,高中及以下,0,0
237328,110112199911160003,110112,1999,28,-10116,-470,1.3,270000.0,0,0,2539,2,0.6794,0.6161,0,1,1,0,1,5.9669,0,16,Laborers,大专,0,0
150842,110112199501120004,110112,1995,32,-11507,-1084,3.0,315000.0,0,0,4,4,0.5828,0.0,0,0,1,0,1,1.5714,0,7,Core staff,本科,0,0
145360,110112200201270005,110112,2002,24,-8865,-595,1.6,126000.0,0,0,719,0,0.5471,0.0,1,1,0,1,1,0.8557,0,19,High skill tech staff,高中及以下,0,3
141343,110112197904170006,110112,1979,47,-17173,-3964,10.9,472500.0,0,0,1945,0,0.4804,0.0,0,0,1,1,1,2.8052,0,43,Private service staff,高中及以下,0,2
125887,110112198702150007,110112,1987,39,-14388,-2205,6.0,210000.0,0,0,1058,1,0.6669,0.6754,1,0,1,1,1,3.5,0,13,Core staff,本科,0,30
236364,110112199808220008,110112,1998,28,-10376,-649,1.8,112500.0,0,0,447,1,0.6221,0.374,1,0,1,1,1,4.4088,1,13,Sales staff,高中及以下,0,2
119050,110112196902050009,110112,1969,57,-20886,-2919,8.0,252000.0,0,0,0,3,0.6142,0.3139,1,1,1,1,1,2.6786,0,92,Managers,本科,0,0
225293,110112197407080010,110112,1974,53,-19339,-916,2.5,157500.0,0,0,289,1,0.6228,0.6707,1,1,1,1,1,1.9379,1,10,Laborers,高中及以下,1,0
237167,110112198108140011,110112,1981,46,-16640,-2633,7.2,135000.0,0,0,2516,3,0.4675,0.5549,0,0,1,1,1,2.6077,1,67,Core staff,高中及以下,0,2
201057,110112199602030012,110112,1996,31,-11212,-2565,7.0,256500.0,0,0,1822,1,0.7662,0.761,0,0,1,0,1,2.4266,1,16,HR staff,本科,0,0
116151,110112198203210013,110112,1982,44,-16203,-7100,19.5,139500.0,0,1,2081,1,0.6864,0.5797,0,0,0,0,1,3.2581,0,18,Managers,本科,0,0
209380,110112198012020014,110112,1980,47,-16985,-8460,23.2,135000.0,0,1,1692,1,0.6198,0.5621,0,0,1,0,1,1.7557,1,30,未知,高中及以下,0,0
178051,110112197301090015,110112,1973,54,-19583,-4168,11.4,153000.0,0,0,404,0,0.2048,0.6263,1,1,1,1,1,4.1835,1,8,Laborers,高中及以下,1,0
105948,110112199212090016,110112,1992,34,-12462,-722,2.0,180000.0,0,0,1416,0,0.4837,0.0,0,0,1,1,1,4.4925,1,1279,未知,本科,0,0
105579,110112198809220017,110112,1988,38,-14007,-1176,3.2,135000.0,0,0,558,0,0.7437,0.7993,1,0,1,1,1,2.0,0,4,Laborers,高中及以下,0,0
117438,110112196502050018,110112,1965,62,-22455,-1269,3.5,112500.0,0,1,1171,1,0.7717,0.638,0,0,1,1,1,8.2025,0,15,Core staff,高中及以下,0,1
140552,110112198507140019,110112,1985,41,-15014,-391,1.1,90000.0,0,0,1556,1,0.0679,0.5549,1,1,1,1,1,1.7064,1,52,Security staff,高中及以下,1,1
