id_card,name,credit_score,overdue_count_12m,credit_query_count_3m,multi_head_loan_count,multi_head_loan_total_amount,device_is_virtual,ip_is_proxy,device_change_count_30d,invalid_field
510106198502280000,模拟用户0,780,1,1,7,182220,0,0,2,
510106199903170001,模拟用户1,614,3,3,5,469690,0,0,1,
510106198812260002,模拟用户2,810,0,0,2,487436,0,0,1,
510106199505260003,模拟用户3,866,0,5,5,243154,0,0,2,
510106199209120004,模拟用户4,716,1,6,4,166536,0,0,3,
510106197010260005,模拟用户5,439,0,5,5,89037,0,0,3,
510106197002220006,模拟用户6,341,2,2,4,453222,0,0,2,
510106199408130007,模拟用户7,706,2,7,3,176469,0,0,4,
510106197007050008,模拟用户8,532,0,5,1,13682,0,0,3,
510106199107030009,模拟用户9,572,0,0,0,211127,1,1,3,
510106198110160010,模拟用户10,879,3,8,0,383152,0,0,4,
510106199109140011,模拟用户11,404,3,8,1,420539,0,0,2,
510106199705150012,模拟用户12,509,3,8,4,256446,0,0,2,
510106199904050013,模拟用户13,436,2,7,3,3358,0,0,1,
510106198110260014,模拟用户14,809,3,8,3,443464,0,0,2,garbage
510106199007040015,模拟用户15,304,0,0,2,19738,0,0,1,
510106200205230016,模拟用户16,461,1,1,7,236371,0,0,4,
510106197906050017,模拟用户17,545,2,7,5,266909,0,0,4,
510106200304100018,模拟用户18,768,0,0,2,444709,0,0,3,
510106198810010019,模拟用户19,369,3,4,2,367727,0,0,3,
510106197404160020,模拟用户20,491,1,6,4,449777,0,0,4,
510106199307020021,模拟用户21,491,3,8,2,322796,0,0,3,
510106199711200022,模拟用户22,884,3,8,4,226817,0,0,2,
510106199312180023,模拟用户23,744,0,5,5,200569,0,0,1,
510106200412010024,模拟用户24,546,2,7,3,115584,0,0,3,
510106200203110025,模拟用户25,490,0,0,4,165289,0,0,2,
510106198103010026,模拟用户26,307,2,7,1,255989,0,0,1,
510106200208100027,模拟用户27,825,3,4,0,65333,0,0,1,garbage
510106199812140028,模拟用户28,305,1,1,5,129593,1,1,2,
510106197103180029,模拟用户29,689,1,6,6,161215,0,0,1,
510106200407170030,模拟用户30,698,0,0,0,408302,1,1,3,
510106199508260031,模拟用户31,421,2,2,2,309143,0,0,1,
510106197910020032,模拟用户32,440,2,2,6,271487,1,1,2,
510106197604260033,模拟用户33,489,3,3,1,484635,0,0,4,
510106198008040034,模拟用户34,882,3,8,1,166258,0,0,4,
510106199405250035,模拟用户35,529,3,8,3,300228,0,0,3,
510106197905090036,模拟用户36,793,0,5,1,265308,0,0,2,
510106199303170037,模拟用户37,756,2,2,6,189651,1,1,3,
510106200404180038,模拟用户38,700,1,1,3,43856,0,0,2,
510106200108230039,模拟用户39,833,1,6,6,215189,0,0,2,garbage
510106200105120040,模拟用户40,375,3,4,0,245984,0,0,1,
510106198207250041,模拟用户41,424,3,8,4,297843,0,0,1,
510106200409170042,模拟用户42,324,3,8,6,478697,0,0,3,
510106198909220043,模拟用户43,654,3,3,7,237281,0,0,1,garbage
510106198211190044,模拟用户44,802,2,7,7,310091,0,0,3,
510106198109190045,模拟用户45,782,1,1,3,1881,0,0,3,
510106198109070046,模拟用户46,632,3,8,7,136949,0,0,3,garbage
510106199704190047,模拟用户47,874,3,8,4,411659,0,0,1,
510106198505050048,模拟用户48,819,3,8,1,103119,0,0,3,
510106200412250049,模拟用户49,699,3,8,6,104428,0,0,1,
510106199004210050,模拟用户50,730,3,8,2,274892,0,0,3,
510106199209070051,模拟用户51,580,2,2,4,3969,0,0,2,
510106198310050052,模拟用户52,770,3,8,0,257450,0,0,4,
510106200407110053,模拟用户53,849,0,5,7,88302,0,0,4,
510106198002150054,模拟用户54,886,0,0,6,26553,0,0,2,
510106198109100055,模拟用户55,434,1,1,7,340130,0,0,3,
510106198606070056,模拟用户56,486,3,4,0,362811,0,0,4,garbage
510106198208100057,模拟用户57,406,3,4,4,103306,0,0,2,
510106197802270058,模拟用户58,524,0,5,1,269279,0,0,2,
510106197105050059,模拟用户59,407,2,7,7,479178,0,0,1,
510106198808160060,模拟用户60,789,3,8,1,346293,0,0,4,
510106197006200061,模拟用户61,395,3,8,5,295209,0,0,1,
510106198607250062,模拟用户62,720,0,0,0,230636,0,0,3,garbage
510106197304060063,模拟用户63,459,2,2,2,113985,1,1,2,
510106200003120064,模拟用户64,804,0,5,3,86803,0,0,3,
510106199610260065,模拟用户65,685,1,6,2,244929,0,0,1,
510106198807030066,模拟用户66,427,0,0,4,226453,0,0,4,
510106198202280067,模拟用户67,655,3,8,0,107615,0,0,2,
510106198912080068,模拟用户68,779,3,3,7,398276,0,0,2,
510106197003130069,模拟用户69,695,1,1,1,450134,0,0,4,
510106199709280070,模拟用户70,794,2,7,3,106244,0,0,4,
510106199408010071,模拟用户71,654,3,8,7,372818,0,0,1,
510106197510120072,模拟用户72,500,3,4,4,40542,0,0,4,
510106200105160073,模拟用户73,886,3,3,7,471605,0,0,2,
510106199011280074,模拟用户74,492,0,5,5,343150,0,0,4,
510106200403200075,模拟用户75,411,0,5,5,309378,0,0,4,
510106198709170076,模拟用户76,372,3,8,6,147698,0,0,1,
510106198301210077,模拟用户77,351,2,7,7,454485,0,0,4,
510106197207250078,模拟用户78,325,3,3,7,56396,0,0,3,garbage
510106198012100079,模拟用户79,506,2,2,4,338585,0,0,2,
510106200108060080,模拟用户80,668,2,2,6,464448,0,0,4,
510106198108280081,模拟用户81,562,2,2,6,453955,0,0,2,garbage
510106197710280082,模拟用户82,345,3,8,1,152271,0,0,2,
510106199508260083,模拟用户83,559,3,4,0,342022,0,0,1,
510106199712050084,模拟用户84,797,3,4,6,358766,0,0,1,
510106199606170085,模拟用户85,633,0,5,7,295184,0,0,4,garbage
510106197801210086,模拟用户86,657,2,7,7,95790,0,0,2,
510106198912160087,模拟用户87,818,3,4,0,421585,0,0,1,
510106199803060088,模拟用户88,605,3,8,5,308019,0,0,4,
510106198703050089,模拟用户89,726,3,4,6,312579,0,0,1,
510106199402100090,模拟用户90,591,3,3,5,243322,0,0,1,
510106199902270091,模拟用户91,712,1,1,7,278266,0,0,3,
510106197407240092,模拟用户92,788,0,0,4,138442,1,1,4,
510106200206010093,模拟用户93,554,3,8,3,436606,0,0,1,
510106198701110094,模拟用户94,897,0,0,4,208785,0,0,2,
510106199010250095,模拟用户95,454,2,2,2,410869,0,0,1,
510106199111270096,模拟用户96,786,0,5,1,90385,0,0,4,
510106198201020097,模拟用户97,663,2,2,4,474634,0,0,1,
510106200401210098,模拟用户98,321,1,6,4,323966,0,0,1,
510106197512170099,模拟用户99,443,3,4,4,368863,0,0,1,
510106197405060100,模拟用户100,715,2,2,0,96452,0,0,2,
510106197205230101,模拟用户101,422,3,8,0,455433,0,0,4,
510106197910190102,模拟用户102,446,1,6,4,481799,0,0,4,
510106198605140103,模拟用户103,856,2,7,7,273423,0,0,2,
510106197801190104,模拟用户104,314,2,2,0,315617,0,0,1,
510106198204010105,模拟用户105,507,3,8,4,118128,0,0,1,
510106200102280106,模拟用户106,719,3,8,6,14506,0,0,1,garbage
510106200008070107,模拟用户107,854,1,6,6,113978,0,0,4,
510106199510020108,模拟用户108,767,3,8,1,7235,0,0,2,
510106197211180109,模拟用户109,731,1,1,3,462092,0,0,2,
510106198101220110,模拟用户110,669,1,6,0,170956,0,0,3,garbage
510106197411250111,模拟用户111,608,3,8,0,291853,0,0,1,
510106198607150112,模拟用户112,739,3,4,2,370513,0,0,4,
510106199002110113,模拟用户113,552,1,6,0,145817,0,0,4,
510106200306180114,模拟用户114,642,1,1,1,408213,0,0,1,
510106200302150115,模拟用户115,513,3,4,2,255719,0,0,2,
510106199603020116,模拟用户116,642,0,0,6,234390,0,0,1,
510106200208150117,模拟用户117,765,2,2,0,455982,0,0,2,
510106199907100118,模拟用户118,646,1,1,5,34924,0,0,4,
510106198605040119,模拟用户119,400,3,3,1,67163,0,0,1,
510106197908170120,模拟用户120,433,0,0,0,105468,0,0,2,garbage
510106197901280121,模拟用户121,802,3,8,5,476384,0,0,1,
510106198908050122,模拟用户122,334,2,7,1,102552,0,0,2,
510106200306210123,模拟用户123,520,1,1,7,463570,0,0,1,
510106197111110124,模拟用户124,780,1,1,1,155371,0,0,1,
510106198003150125,模拟用户125,369,2,2,6,345578,0,0,1,
510106199207160126,模拟用户126,899,3,8,3,442846,0,0,1,garbage
510106200011220127,模拟用户127,571,1,6,6,270131,0,0,3,
510106198508040128,模拟用户128,824,3,4,6,335468,0,0,4,
510106197308250129,模拟用户129,566,3,3,7,273916,0,0,1,
510106197203270130,模拟用户130,372,2,7,3,420993,0,0,3,
510106199802260131,模拟用户131,450,2,7,7,248004,0,0,4,
510106198805050132,模拟用户132,429,1,1,3,358009,0,0,2,
510106198712100133,模拟用户133,893,3,4,2,146259,0,0,4,
510106199105060134,模拟用户134,617,0,5,5,493891,0,0,3,
510106197005090135,模拟用户135,818,1,6,6,229336,0,0,2,
510106198110140136,模拟用户136,572,0,5,7,212489,0,0,4,garbage
510106200301140137,模拟用户137,584,3,8,3,390992,0,0,3,
510106199511090138,模拟用户138,374,3,3,3,416690,0,0,4,
510106199509150139,模拟用户139,627,3,8,4,52335,0,0,1,
510106199108110140,模拟用户140,499,0,5,7,437282,0,0,4,
510106198610040141,模拟用户141,763,3,8,2,413867,0,0,2,
510106197008170142,模拟用户142,874,0,5,7,22504,0,0,1,
510106200404150143,模拟用户143,745,1,6,2,171277,0,0,3,
510106199110280144,模拟用户144,797,3,4,6,366862,0,0,3,
510106199208020145,模拟用户145,660,1,1,7,218599,0,0,2,
510106199511240146,模拟用户146,381,1,1,7,136668,0,0,4,
510106197603150147,模拟用户147,656,0,0,6,142429,0,0,2,
510106199211150148,模拟用户148,605,2,2,0,140202,0,0,2,
510106198710060149,模拟用户149,781,3,8,3,29670,0,0,4,
510106200403150150,模拟用户150,787,2,2,0,66985,0,0,4,
510106199407050151,模拟用户151,577,1,6,0,176284,0,0,2,garbage
510106199710070152,模拟用户152,396,3,8,7,367747,0,0,3,
510106198607220153,模拟用户153,404,1,1,5,499387,0,0,2,
510106199512250154,模拟用户154,312,1,1,5,232117,1,1,1,
510106198604250155,模拟用户155,481,3,3,5,234337,0,0,4,garbage
510106197310030156,模拟用户156,595,0,5,1,126457,0,0,4,
510106198704150157,模拟用户157,773,0,5,3,325038,0,0,3,
510106199102150158,模拟用户158,710,3,8,4,343104,0,0,4,
510106197708170159,模拟用户159,873,0,5,1,109779,0,0,1,
510106198810090160,模拟用户160,572,1,1,7,289238,0,0,2,
510106197504260161,模拟用户161,868,2,2,6,24354,0,0,1,
510106200311240162,模拟用户162,478,2,2,6,375572,0,0,1,
510106197505250163,模拟用户163,364,3,3,7,104127,0,0,3,
510106200205220164,模拟用户164,626,3,3,5,432941,0,0,3,
510106199006060165,模拟用户165,733,2,2,6,469643,0,0,4,
510106197311240166,模拟用户166,800,3,3,3,162002,0,1,3,
510106197807030167,模拟用户167,690,3,3,5,138009,0,0,3,
510106200008050168,模拟用户168,429,1,1,1,171616,0,0,2,
510106199306020169,模拟用户169,878,0,0,2,374368,0,0,3,
510106198912110170,模拟用户170,893,3,4,4,49768,0,0,2,
510106197306220171,模拟用户171,389,1,6,2,242580,0,0,3,
510106199908060172,模拟用户172,355,1,1,3,143933,0,0,2,
510106197111080173,模拟用户173,591,2,7,1,92172,0,0,4,
510106199503130174,模拟用户174,373,3,3,5,182447,0,0,1,
510106197406260175,模拟用户175,419,0,0,4,135895,1,1,1,
510106197303200176,模拟用户176,636,1,1,1,416561,0,0,1,
510106200204170177,模拟用户177,451,3,4,6,115600,0,0,1,
510106198101260178,模拟用户178,313,1,6,2,154961,0,0,3,
510106198306050179,模拟用户179,454,0,0,6,289014,0,0,1,
510106198004130180,模拟用户180,391,1,6,2,169439,0,0,2,
510106197201060181,模拟用户181,887,0,5,7,224062,0,0,2,garbage
510106197905230182,模拟用户182,345,3,3,3,225687,0,1,2,
510106197912020183,模拟用户183,741,3,8,4,209755,0,0,3,
510106198208020184,模拟用户184,389,2,2,2,315929,1,1,3,
510106198901050185,模拟用户185,758,2,2,6,258667,0,0,1,
510106197801090186,模拟用户186,581,3,8,7,229167,0,0,1,
510106198008060187,模拟用户187,636,2,2,6,293459,0,0,3,
510106200401050188,模拟用户188,377,3,4,2,339499,0,0,2,
510106198305240189,模拟用户189,422,1,6,4,347186,0,0,3,
510106198009020190,模拟用户190,864,3,4,2,279343,0,0,3,
510106198103030191,模拟用户191,834,3,3,3,377864,0,1,1,
510106197008220192,模拟用户192,566,1,1,5,34409,0,0,3,garbage
510106199808110193,模拟用户193,663,3,4,6,396456,0,0,3,
510106198312030194,模拟用户194,815,2,7,5,123745,0,0,4,
510106199005050195,模拟用户195,311,3,4,4,181089,0,0,3,
510106198811140196,模拟用户196,301,3,8,1,394890,0,0,1,
510106199504250197,模拟用户197,776,3,8,3,403708,0,0,1,
510106199402080198,模拟用户198,319,0,5,5,225414,0,0,2,
510106197707080199,模拟用户199,385,0,5,5,15734,0,0,2,
510106198303060200,模拟用户200,565,3,8,1,466836,0,0,2,
510106200207150201,模拟用户201,742,3,8,4,133851,0,0,4,
510106200209170202,模拟用户202,409,0,5,5,276393,0,0,3,
510106200207020203,模拟用户203,531,3,3,7,144615,0,1,3,
510106198305080204,模拟用户204,895,0,0,6,422769,0,0,4,
510106197506030205,模拟用户205,608,3,3,7,434352,0,0,4,
510106197603080206,模拟用户206,341,2,2,4,357092,0,0,2,
510106198401200207,模拟用户207,845,3,8,6,165767,0,0,2,
510106199907270208,模拟用户208,558,3,8,1,60282,0,0,2,
510106199806250209,模拟用户209,557,2,2,6,307481,1,1,3,
510106200205270210,模拟用户210,628,1,1,7,5636,0,0,1,
510106200204220211,模拟用户211,661,0,0,2,103463,0,0,4,
510106197110050212,模拟用户212,876,0,0,6,499307,0,0,1,garbage
510106197901220213,模拟用户213,760,3,8,4,187535,0,0,1,
510106198204130214,模拟用户214,656,2,2,4,499208,0,0,2,
510106199304240215,模拟用户215,781,0,5,7,359014,0,0,2,
510106198408050216,模拟用户216,480,1,6,2,11831,0,0,3,
510106199804120217,模拟用户217,698,2,2,2,299189,0,0,4,
510106197111190218,模拟用户218,580,3,4,2,3681,0,0,1,
510106199511270219,模拟用户219,809,2,2,4,270561,0,0,1,
510106197404110220,模拟用户220,635,3,8,5,11332,0,0,4,
510106197908060221,模拟用户221,550,3,8,4,237474,0,0,1,
510106197508230222,模拟用户222,431,0,5,5,373704,0,0,1,
510106199511120223,模拟用户223,681,3,8,1,353330,0,0,1,
510106199508180224,模拟用户224,666,3,4,6,146895,0,0,1,
510106199401150225,模拟用户225,802,0,5,7,287307,0,0,3,
510106198112040226,模拟用户226,383,1,1,7,440847,0,0,2,
510106197305240227,模拟用户227,713,1,6,6,184381,0,0,3,
510106197710170228,模拟用户228,416,0,0,0,451105,0,0,4,
510106199710090229,模拟用户229,530,3,4,6,121225,0,0,4,
510106199808090230,模拟用户230,492,3,8,5,372454,0,0,1,
510106199111230231,模拟用户231,873,2,2,0,30373,0,0,1,
510106197005210232,模拟用户232,520,2,2,2,495395,0,0,2,
510106199504220233,模拟用户233,518,1,1,7,118910,0,0,4,
510106199209010234,模拟用户234,455,3,4,4,345876,0,0,1,
510106198405150235,模拟用户235,492,3,4,4,217364,0,0,1,
510106197805090236,模拟用户236,735,3,8,4,225121,0,0,3,
510106197904250237,模拟用户237,796,1,6,6,344912,0,0,3,
510106199509030238,模拟用户238,341,3,8,3,493896,0,0,3,
510106199410110239,模拟用户239,722,1,6,4,140021,0,0,4,
510106197107180240,模拟用户240,503,2,2,2,387356,0,0,2,
510106199602270241,模拟用户241,356,2,2,6,111825,1,1,3,
510106198611270242,模拟用户242,587,3,8,4,178446,0,0,3,
510106199309070243,模拟用户243,664,0,5,3,36160,0,0,2,
